asset_id,timestamp,burr_microns,humidity_rh,winding_tension_n,vpd_moisture_rate,tank_bolt_torque_nm,oil_fill_rate_lpm,hydrogen_ppm,acetylene_ppm,ethylene_ppm,transit_impact_g,signature,actual_label
TR-2026-0001,2026-01-01T08:00:00,8.88,51.004,552.92,0.255,169.374,86.023,7.051,0.793,2.72,1.508,1ad0c3561a3fd1fd265dbf6b734bdc9d1bdf69eaeb890efdd82cc34318c9977d,1
TR-2026-0002,2026-01-01T08:15:00,12.198,54.018,536.363,0.364,189.425,77.329,10.635,0.78,3.723,0.962,064929afce77a71e3cfe5e39f665afaa418a723f029a4b949905c1a851feab3c,1
TR-2026-0003,2026-01-01T08:30:00,11.536,41.573,507.675,0.503,189.385,88.302,9.292,1.657,3.39,1.021,37e2bf3e900ebbecc92dacdc08b33e4eb061286f107e106e153cbed174f17f6d,1
TR-2026-0004,2026-01-01T08:45:00,13.848,54.032,516.012,0.366,175.106,90.205,10.23,1.017,3.002,1.281,b082f80a9dfb40e5ec4c3d0cac077eb820e51279bbcf581c26ba6d58bd981bda,1
TR-2026-0005,2026-01-01T09:00:00,12.656,51.971,527.826,0.518,185.811,87.313,9.894,0.217,3.52,1.035,cfca466ba509ab6ce6e1ed2e92e265df63dab97358c231617d5363221a0234be,1
TR-2026-0006,2026-01-01T09:15:00,11.175,56.96,489.696,0.547,164.806,82.321,8.488,1.034,5.067,1.478,8325d8e412e17dafe6007cf2a1168674755de6cd2378360eb5b543121a5867f8,1
TR-2026-0007,2026-01-01T09:30:00,10.613,51.864,513.304,0.322,149.384,111.907,9.491,0.857,5.036,1.05,d6e512ff28281ef4213de556fee8031cd89e162296a0129c0870042f7a2fce35,-1
TR-2026-0008,2026-01-01T09:45:00,10.014,42.096,506.639,0.33,190.844,81.245,8.037,0.992,4.67,1.433,e0d3710d81a080c00280fd922425c53db69ca0a5b6636d826277e5598cc18755,1
TR-2026-0009,2026-01-01T10:00:00,10.73,44.362,460.943,0.305,169.128,77.022,9.199,0.438,3.433,1.655,cb7e85cfda5ad3dc69834ba1e6fd54c3d9d2c35593135b28de0940d0abbeeabc,1
TR-2026-0010,2026-01-01T10:15:00,14.213,37.531,512.81,0.355,180.932,91.722,2.818,0.974,4.357,0.992,4af453b3bc4384b21e665b34b1d64e3342ae9decaf33bdcca9cd2a442700b43b,1
TR-2026-0011,2026-01-01T10:30:00,12.216,40.764,528.144,0.452,204.221,83.085,4.93,0.872,4.33,1.676,9409b0ef71c218e6d0c6399fdf71c7962d71461be57dc63f063822b5498ff36a,1
TR-2026-0012,2026-01-01T10:45:00,13.071,56.706,478.393,0.386,173.881,81.882,3.87,1.054,3.667,0.685,ffb159b006974a89078aa9275528de30004122730239b8620943a99bc396b6e5,1
TR-2026-0013,2026-01-01T11:00:00,12.941,51.705,589.886,0.741,189.973,77.084,1.604,0.907,2.781,1.055,6fc330839e7353c8b786d36068a09004a311ce64c2f16e4b8438d812bf209193,1
TR-2026-0014,2026-01-01T11:15:00,11.578,53.528,525.497,0.434,172.572,71.603,6.541,0.778,6.652,1.246,37bb589f6a53906095db492d2ffeddb3f4446a0e525efc1244cab882761c569c,1
TR-2026-0015,2026-01-01T11:30:00,10.502,35.52,486.221,0.377,210.542,78.429,10.515,0.439,5.397,1.335,13cf423d52d67700e19a02eb0030368da762fc2fe528d903690293e0a88d778f,1
TR-2026-0016,2026-01-01T11:45:00,11.878,39.762,535.613,0.405,170.293,74.776,8.518,1.432,4.24,1.158,484ab0c3d3720b95c19973110790a0bf4901954823deb2c9c4ef0d2ab328c315,1
TR-2026-0017,2026-01-01T12:00:00,15.918,46.755,505.618,0.561,190.145,97.286,8.55,0.31,1.948,1.778,b28398c3e3e5646076da664f9337bea9683068c996fc6affba5e04ae5f8eb2a0,1
TR-2026-0018,2026-01-01T12:15:00,11.461,41.935,571.151,0.339,174.263,90.147,6.816,0.798,3.755,1.318,f0f028e9de64d4cb100e37f3761884fac8c3d0d529c733e7b61e32c953df922b,1
TR-2026-0019,2026-01-01T12:30:00,12.272,50.152,448.244,0.445,174.881,75.249,5.366,0.666,5.374,0.736,88c5a2e9b9ec4c0a05b1514176f4db1542f8e23a475a211b2f2acbd595045fc6,1
TR-2026-0020,2026-01-01T12:45:00,10.547,42.379,555.097,0.504,201.049,83.764,5.912,0.71,4.364,1.262,d3a75b8f716c3911acddac933d584f3418426b694cb24f680ffa13937d1d169a,1
TR-2026-0021,2026-01-01T13:00:00,12.271,46.826,608.112,0.638,174.761,82.701,3.61,0.564,4.473,1.622,186afa7c829d43d56eb05c32d46720deb587bb3839d0ae57eddccbba98800c4e,1
TR-2026-0022,2026-01-01T13:15:00,10.038,27.822,514.307,0.344,178.647,77.985,7.717,0.097,1.799,1.945,1c946628ee5602d1f44d924e2e112c17f1eb7b9a1a53d6118dd88b7ec004581b,1
TR-2026-0023,2026-01-01T13:30:00,8.71,59.695,621.677,0.333,180.581,87.732,13.186,0.405,3.632,1.472,2b1f80364dda9768b5d5d1cb6cfb6619d2ffbae6656f5a7ca6f7ceb2b47f07e4,1
TR-2026-0024,2026-01-01T13:45:00,10.872,43.929,471.879,0.426,181.803,86.857,6.334,0.989,5.519,1.254,05cb6a81b7e979012f74659199331b39093976a0062e5c1ec4fb171efe5ffcf8,1
TR-2026-0025,2026-01-01T14:00:00,12.159,45.001,494.745,0.482,183.833,101.745,12.72,0.954,2.855,0.811,fa02cd3b9a853df884c495e4e989dddc7167fe6d5e71d048331b0d3909ce2f48,1
TR-2026-0026,2026-01-01T14:15:00,12.788,48.841,458.939,0.543,190.453,76.117,6.585,0.905,4.079,1.098,995c71fd32607e74bcd01f55367aeb69f32d19dff09553323cbe0de657159f19,1
TR-2026-0027,2026-01-01T14:30:00,11.244,46.221,571.502,0.193,182.158,86.412,8.888,0.651,1.365,1.315,6b087e11ff0e67bf6de8b2fb2cd2966b32b93311df78f8420a28603626b61710,1
TR-2026-0028,2026-01-01T14:45:00,7.398,51.911,508.502,0.444,172.365,82.324,11.9,1.033,6.598,1.612,fd5e034acf3adb8350598dfea8f95eaf33e171028d4a3fd013fb24e6a51435c9,1
TR-2026-0029,2026-01-01T15:00:00,17.232,48.512,548.98,0.42,185.799,79.421,10.969,0.329,5.174,1.133,aa5c6c8b0af37f7bc0ada7fee1d6463bf2a7775fc397b60c99db9a5764264169,1
TR-2026-0030,2026-01-01T15:15:00,14.253,59.565,545.577,0.293,184.197,75.624,6.445,1.404,4.956,0.955,e84473b19f39a7f2c1e9b7ba447af670a16a3a0a36969209627ab09b8e78aca8,1
TR-2026-0031,2026-01-01T15:30:00,12.098,35.268,496.51,0.481,198.864,89.87,1.126,0.922,4.108,1.345,d0dd84622452411dd9561919f949933eca03c62ec0bfb085cac215c942e205c8,1
TR-2026-0032,2026-01-01T15:45:00,5.81,40.271,540.682,0.292,202.711,87.947,10.54,0.572,5.221,1.574,a133d221041086ed0d73a8bcdb46e92e5630985b6c0b4216654cd0631e56cee7,1
TR-2026-0033,2026-01-01T16:00:00,12.703,47.163,489.783,0.435,183.17,88.067,10.999,0.377,3.812,1.719,2283128d8c71609fc066b570225a668eb168a9d99ba26e96dea33fd8d9296f74,1
TR-2026-0034,2026-01-01T16:15:00,9.533,46.618,549.553,0.451,200.948,91.854,10.525,1.022,7.491,1.128,dce9bd1d0f77e8684b6b457c155273989c34f1ad448b2a36bc6f9a05599d1d6f,1
TR-2026-0035,2026-01-01T16:30:00,16.813,41.338,523.776,0.581,165.773,74.987,3.196,0.482,4.659,1.383,bb3fa92ed5c6a8eab2dbad37f471636ce7432bc95a48a2dab2d606ad26337c78,1
TR-2026-0036,2026-01-01T16:45:00,7.762,26.519,521.902,0.403,190.513,90.616,8.415,1.104,4.344,1.386,d2ebc5f62badec9ca632a54348f117d8cb0d306b8b4c26c7dc03afec3bd41ff4,1
TR-2026-0037,2026-01-01T17:00:00,11.461,46.574,548.718,0.411,191.254,82.873,7.647,1.132,1.01,0.746,d4116000d2c6e7030d0e9ed2656fe731184063eaee818730150d86cfeb3cb0c1,1
TR-2026-0038,2026-01-01T17:15:00,4.999,39.574,546.23,0.422,187.373,93.714,11.983,0.772,6.03,1.232,8fc5ec57639c9c5afd41e8270ad471d6a0cb54c47a6282be29972aa03e1f4023,1
TR-2026-0039,2026-01-01T17:30:00,10.217,33.156,488.915,0.414,194.643,98.766,3.853,0.957,2.439,1.366,4543ea5ef03318cdac099639441dabf1086d2cfedc5f2f81a613848a4f5b4424,1
TR-2026-0040,2026-01-01T17:45:00,6.507,52.426,498.825,0.397,172.163,79.766,9.284,0.724,4.493,1.327,a063e3e3089a8e0ec3faabac6f46e72220038cd6ebd95c6853beac707049fb5c,1
TR-2026-0041,2026-01-01T18:00:00,10.972,33.185,557.353,0.417,198.375,88.067,7.607,0.94,6.927,1.927,a2ff5f654ff4c96b27623449b67f1e6cb81ea96918686dd56d6d520d598b62a8,1
TR-2026-0042,2026-01-01T18:15:00,12.481,53.61,490.402,0.483,184.69,87.511,5.5,0.164,0.891,0.809,2cb69352c364b87141a3a5324a5c4ccf4624d3cd0bd3ae5edd1516bec88165b3,1
TR-2026-0043,2026-01-01T18:30:00,11.12,60.498,558.71,0.354,189.173,81.743,46.511,3.716,18.032,1.081,14a0ccf4cb760f218f39faa3412f199fd3320e15a418842d1c8b5fe4fee8a688,-1
TR-2026-0044,2026-01-01T18:45:00,12.669,56.466,523.203,0.508,184.319,83.637,5.662,0.972,2.723,1.433,7311b427bc6b351f8c5b7d1137164f50bf8fddb7edd6c2b01dd6c32425ef341a,1
TR-2026-0045,2026-01-01T19:00:00,13.1,42.71,535.889,0.419,196.227,70.349,6.993,0.004,1.757,1.677,58a13d929d656cb0b7f92d62d571f0e389969d0b1eacc418899345b22f6ec8b0,1
TR-2026-0046,2026-01-01T19:15:00,9.842,32.98,416.241,0.396,214.045,88.479,6.321,0.986,1.659,1.096,1d209818ae38180d1ee5b9c8430279849ad2ad035f24443c928e4509c9f466b6,1
TR-2026-0047,2026-01-01T19:30:00,11.742,51.326,532.063,0.517,176.74,92.183,12.887,0.412,2.668,1.668,b4ce43792c517a19c0b4b01a9244a8da12e8d4624b339a9d9d374bda13d2acba,1
TR-2026-0048,2026-01-01T19:45:00,16.211,41.46,570.927,0.463,188.099,97.518,6.915,0.424,3.327,1.358,bdd965d1874876156e2797683fd5e33eab90abbdc392d6f1fef9631b64f581e2,1
TR-2026-0049,2026-01-01T20:00:00,13.912,40.69,560.173,0.211,175.561,71.508,5.521,0.899,3.731,1.111,31330537f495a0b74e2904b9f230149b85663ebb717785bf69c6313bafbe9c16,1
TR-2026-0050,2026-01-01T20:15:00,12.61,36.932,544.74,0.516,189.62,89.452,8.889,1.614,3.869,1.093,c2351f493db60231a63b0b0779eea885627d577a4668cbdd2c0581a074d19d48,1
TR-2026-0051,2026-01-01T20:30:00,8.903,35.044,488.892,0.443,189.012,85.409,5.703,1.16,5.109,1.144,b9467bf3fd87c3b7fbcdb2c8e92f1226df39cd45989819fb23e4a49fd535dde5,1
TR-2026-0052,2026-01-01T20:45:00,13.645,46.504,469.316,0.443,188.144,77.802,8.57,0.218,6.004,1.637,5b194130e20203fecf081e96e463c465970db9efcbbd243efc37c23b64e5eeac,1
TR-2026-0053,2026-01-01T21:00:00,13.09,25.721,479.528,0.421,172.134,90.715,13.992,0.329,2.744,1.282,da396c2ca35fa3695f33da8b4a74c07222c9f5c9f1611740014227b2492ddc7d,1
TR-2026-0054,2026-01-01T21:15:00,8.333,46.992,583.745,0.285,169.627,81.611,6.438,1.125,4.362,0.579,a83cf9435ba141b775ac28a495990ccad08dcaf02e751129a77b624b7a3ea78c,1
TR-2026-0055,2026-01-01T21:30:00,10.267,55.196,498.034,0.386,191.494,91.103,9.344,0.126,4.807,0.838,8652813cbc28c6ba110dec2b3d153daa69aee0d37d6daeb5f190032b6df0c95a,1
TR-2026-0056,2026-01-01T21:45:00,7.729,48.571,491.769,0.322,193.566,86.933,6.158,1.38,3.339,1.211,a3c318eda77cb81dc32d37378601847a312763d127e7277f03f6b5706a85151a,1
TR-2026-0057,2026-01-01T22:00:00,10.141,48.769,501.329,0.409,201.352,76.675,0.762,1.444,7.824,1.058,e66a286e0afd04b49b6676b0f6f9aaa73a95229643547703fd552effcd98aa30,1
TR-2026-0058,2026-01-01T22:15:00,11.069,42.71,513.353,0.339,191.955,89.196,3.517,1.08,7.079,1.26,5b9148c5263abd010954a16f12a5695846895b9666568585c2b1eb262bb1cac4,1
TR-2026-0059,2026-01-01T22:30:00,11.574,49.922,459.426,0.466,180.314,99.783,7.477,1.467,2.344,1.406,bebe5101393e1d9acabec7d41b705a2b6a19c15297ca5b5291479c4ad668dee7,1
TR-2026-0060,2026-01-01T22:45:00,9.393,46.419,562.438,0.418,147.231,109.773,5.293,0.663,3.878,0.603,25e6c211a57d1365c0e27a36399dba5842e41ea6cdf07d94b4594413f3cdfde6,-1
TR-2026-0061,2026-01-01T23:00:00,14.355,47.179,495.014,0.318,195.03,87.795,15.148,0.968,4.582,1.142,fbfcf2abf47a7e0ad081e228d7972673622ff01f854dff8472e50d82b65a4549,1
TR-2026-0062,2026-01-01T23:15:00,13.875,55.014,501.754,0.406,179.251,91.326,12.495,0.616,3.363,1.31,57dd70494492cb50f76e9922de518b1677e81a7ae5b43b09b7eb45929e5f13f8,1
TR-2026-0063,2026-01-01T23:30:00,14.856,26.986,491.065,0.372,157.156,77.291,5.255,0.72,5.669,1.114,694f422d59665e30fed390dee4e16ee282a21ea63e245d80ccaf6a0cf5f175bd,1
TR-2026-0064,2026-01-01T23:45:00,11.829,53.393,485.841,0.359,191.703,83.228,9.942,0.795,5.052,0.838,780fd13f72b26c90aa91f3f47ba5fea1ae5ce053729d305d0b5ea56806b52a76,1
TR-2026-0065,2026-01-02T00:00:00,11.368,65.54,498.835,0.519,180.789,76.822,7.711,1.251,0.579,0.676,410844e8131a747846bf5aa7a5ef6fc2e9c6d7e61a3cdcef9fdbaa4358c4633a,-1
TR-2026-0066,2026-01-02T00:15:00,14.302,35.879,480.816,0.495,185.699,89.39,7.437,0.911,4.237,1.472,868e4e0abf78b7c029045dbc65456beb3f786df19586322d566750429af8a1f2,1
TR-2026-0067,2026-01-02T00:30:00,7.14,27.022,555.061,0.569,172.753,70.121,8.297,1.172,6.696,3.196,f71ee88d523a4ead0c6caf42495ff1250c905eff9d81605d804cbf45295c31e4,-1
TR-2026-0068,2026-01-02T00:45:00,11.102,36.879,591.706,0.629,198.633,77.633,10.565,1.056,4.664,1.637,a5934e39ceadc5b70d5c27af168eb7dff25e131b1f4aca46fd05c556ea15ea66,1
